,id,name,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood,latitude,longitude,is_location_exact,room_type,bathrooms,bedrooms,beds,price,availability,number_of_reviews,first_review,last_review,rating,score_clean,score_communication,score_location
1826,3408419,Beautiful HOUSEBOAT with garden,17187656,2014-06-24,within an hour,100,False,2.0,True,Watergraafsmeer,52.33182,4.9042,True,Entire home/apt,2,5,4,190.0,23,42,2014-10-15,2019-10-22,9.6,9.0,10.0,9.0
1828,3418684,Cosy appartment near Vondelpark & City Centre!,4579320,2013-01-03,within a day,100,True,1.0,True,De Baarsjes - Oud-West,52.365840000000006,4.857530000000001,False,Entire home/apt,1,1,1,110.0,68,31,2014-09-07,2019-09-15,9.7,9.0,10.0,10.0
1838,3430456,lovely apartment with balcony,17048359,2014-06-20,within a day,100,False,1.0,True,De Baarsjes - Oud-West,52.36104,4.85971,True,Entire home/apt,1,1,1,100.0,0,30,2014-08-18,2019-11-07,9.1,9.0,10.0,9.0
1840,3432460,Hipster place Amsterdam west,16773480,2014-06-14,within a few hours,100,False,1.0,True,De Baarsjes - Oud-West,52.370979999999996,4.86332,False,Entire home/apt,1,1,1,130.0,18,7,2017-04-04,2017-08-02,9.3,9.0,10.0,9.0
1843,3436828,City apartment with summergarden,2167559,2012-04-18,within an hour,100,False,1.0,True,Bos en Lommer,52.37492,4.84652,True,Entire home/apt,1,1,1,135.0,0,30,2015-06-26,2019-10-20,9.5,9.0,10.0,9.0
1845,3441679,Cosy house close to Amstel river & City center,17344622,2014-06-27,within an hour,100,False,1.0,True,Oud-Oost,52.34975,4.91326,False,Entire home/apt,1,1,1,100.0,0,9,2018-12-01,2019-10-20,10.0,10.0,10.0,10.0
1846,3443219,Charming flat @ Prinsengracht Canal,17353510,2014-06-28,within a day,100,False,2.0,True,Centrum-Oost,52.361670000000004,4.891290000000001,True,Entire home/apt,1,1,1,129.0,0,16,2014-10-21,2016-02-13,9.9,10.0,10.0,10.0
1856,3456645,Where love lives in Amsterdam,17419889,2014-06-29,within a day,100,True,1.0,True,Zuid,52.35132,4.88598,False,Entire home/apt,1,1,2,175.0,49,56,2014-08-26,2019-10-20,9.4,10.0,10.0,9.0
1857,3459981,Luxurious familyhouse with garden,14307292,2014-04-15,within a day,100,True,1.0,True,De Baarsjes - Oud-West,52.36192,4.87526,True,Entire home/apt,2,3,3,245.0,25,34,2014-08-12,2019-10-22,9.9,10.0,10.0,10.0
1858,3462747,Renovated room in historical building,13840690,2014-04-03,within an hour,100,True,1.0,True,De Baarsjes - Oud-West,52.368120000000005,4.87259,True,Private room,1,1,1,95.0,100,283,2014-10-05,2019-11-24,9.7,10.0,9.0,10.0
1862,3466962,Canal house,17439682,2014-06-30,within an hour,100,True,2.0,True,Centrum-West,52.37458,4.8811599999999995,True,Entire home/apt,1,4,3,288.0,0,85,2014-07-07,2019-10-14,9.5,10.0,10.0,10.0
1871,3489193,B&B Stars Dreams Stay Centrum,10050589,2013-11-16,within an hour,95,False,1.0,True,Centrum-West,52.3763,4.89616,False,Private room,1,2,2,175.0,279,364,2014-07-04,2019-11-23,8.8,9.0,10.0,10.0
1872,3489363,Great Canal View Studio!,3338541,2012-08-22,within a day,100,False,1.0,True,De Pijp - Rivierenbuurt,52.35087,4.906569999999999,False,Entire home/apt,1,1,1,83.0,18,95,2014-07-07,2018-05-31,9.7,10.0,10.0,10.0
1873,3492282,Cosy and in a great location,669137,2011-06-06,within a day,100,False,1.0,True,De Baarsjes - Oud-West,52.36665,4.87365,True,Entire home/apt,1,1,1,150.0,159,38,2014-08-18,2019-07-11,9.5,10.0,10.0,10.0
